
---------- Begin Simulation Statistics ----------
simSeconds                                   0.391202                       # Number of seconds simulated (Second)
simTicks                                 391201542500                       # Number of ticks simulated (Tick)
finalTick                                391201542500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     10.77                       # Real time elapsed on the host (Second)
hostTickRate                              36321457836                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     672856                       # Number of bytes of host memory used (Byte)
simInsts                                       204932                       # Number of instructions simulated (Count)
simOps                                         378408                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    19027                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      35133                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           460102                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          617259                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       47                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         550393                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1558                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               238859                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            295988                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              367987                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.495686                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.238294                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    219730     59.71%     59.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     26463      7.19%     66.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     26458      7.19%     74.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     20410      5.55%     79.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     20225      5.50%     85.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     18973      5.16%     90.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     21692      5.89%     96.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      8421      2.29%     98.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      5615      1.53%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                367987                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   10105     88.42%     88.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     88.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     88.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     88.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     88.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     88.42% # attempts to use FU when none available (Count)
