
---------- Begin Simulation Statistics ----------
simSeconds                                   0.423957                       # Number of seconds simulated (Second)
simTicks                                 423956591500                       # Number of ticks simulated (Tick)
finalTick                                423956591500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     11.32                       # Real time elapsed on the host (Second)
hostTickRate                              37454505058                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     671828                       # Number of bytes of host memory used (Byte)
simInsts                                       204932                       # Number of instructions simulated (Count)
simOps                                         378408                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    18105                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      33430                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           457100                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          600533                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       48                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         534795                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1446                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               222134                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            301301                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              362707                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.474455                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.208189                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    216323     59.64%     59.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     27499      7.58%     67.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     25902      7.14%     74.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     20386      5.62%     79.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     19772      5.45%     85.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     18749      5.17%     90.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     21602      5.96%     96.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      7903      2.18%     98.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      4571      1.26%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                362707                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   10420     89.89%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     89.89% # attempts to use FU when none available (Count)
